movie_name,release_year,certificate,duration,genre,star,metascore,votes
Zack Snyder's Justice League,2021,18,242 min,"Action, Adventure, Fantasy",8.1,54        ,"307,081"
Aspirants,2021– ,not rated,45 min,Drama,9.7,nil,"272,234"
WandaVision,2021,12,350 min,"Action, Comedy, Drama",8.1,nil,"186,720"
Radhe,2021,not rated,135 min,"Action, Crime, Thriller",1.8,nil,"163,592"
Godzilla vs. Kong,2021,12,113 min,"Action, Sci-Fi, Thriller",6.4,59        ,"146,473"
Army of the Dead,2021,16,148 min,"Action, Crime, Horror",5.8,57        ,"122,280"
The Falcon and the Winter Soldier,2021,12,50 min,"Action, Adventure, Drama",7.4,nil,"119,141"
Mortal Kombat,2021,16,110 min,"Action, Adventure, Fantasy",6.2,44        ,"117,688"
Nobody,I 2021,16,92 min,"Action, Crime, Drama",7.4,64        ,"111,084"
Raya and the Last Dragon,2021,PG,107 min,"Animation, Action, Adventure",7.4,75        ,"86,787"
Cruella,2021,12,134 min,"Comedy, Crime",7.4,59        ,"78,923"
Lupin,2021– ,12,45 min,"Action, Crime, Drama",7.5,nil,"75,407"
Invincible,2021– ,not rated,364 min,"Animation, Action, Adventure",8.8,nil,"69,646"
Cash Truck,2021,16,119 min,"Action, Crime, Thriller",7.2,57        ,"65,669"
The Little Things,2021,16,128 min,"Crime, Drama, Mystery",6.3,54        ,"64,138"
Mare of Easttown,2021,not rated,410 min,"Crime, Drama, Mystery",8.5,nil,"63,491"
The Mitchells vs the Machines,2021,6,113 min,"Animation, Adventure, Comedy",7.7,80        ,"62,444"
Master,2021,not rated,179 min,"Action, Thriller",7.9,nil,"60,286"
Coming 2 America,2021,PG-13,110 min,Comedy,5.3,52        ,"58,467"
The Dig,2021,12,112 min,"Biography, Drama, History",7.1,73        ,"58,114"
The Conjuring: The Devil Made Me Do It,2021,16,112 min,"Horror, Mystery, Thriller",6.4,53        ,"55,731"
Shadow and Bone,2021– ,not rated,nil,"Action, Adventure, Drama",7.7,nil,"55,625"
Tandav,2021– ,not rated,30 min,"Drama, Thriller",3.7,nil,"55,398"
 Shingeki no kyojin,2013–2021,not rated,24 min,"Animation, Action, Adventure",9.9,nil,"54,384"
Loki,2021– ,12,nil,"Action, Adventure, Fantasy",8.9,nil,"52,959"
The Woman in the Window,2021,16,100 min,"Crime, Drama, Mystery",5.7,41        ,"52,044"
